province_name,population,doses_distributed,doses_administered,doses_per_100,source_url,snapshot_date
Bắc Giang,1803950,3706530,4026604,223.21,https://en.wikipedia.org/wiki/COVID-19_vaccination_in_Vietnam,2026-07-12
Bắc Kạn,313905,580140,556216,177.19,https://en.wikipedia.org/wiki/COVID-19_vaccination_in_Vietnam,2026-07-12
Cao Bằng,530341,993120,923137,174.06,https://en.wikipedia.org/wiki/COVID-19_vaccination_in_Vietnam,2026-07-12
Hà Giang,854679,1722760,1439333,168.41,https://en.wikipedia.org/wiki/COVID-19_vaccination_in_Vietnam,2026-07-12
Lạng Sơn,781655,1741530,1541562,197.22,https://en.wikipedia.org/wiki/COVID-19_vaccination_in_Vietnam,2026-07-12
Phú Thọ,1463726,2463940,2852797,194.9,https://en.wikipedia.org/wiki/COVID-19_vaccination_in_Vietnam,2026-07-12
Quảng Ninh,1320324,3275758,3064841,232.13,https://en.wikipedia.org/wiki/COVID-19_vaccination_in_Vietnam,2026-07-12
Thái Nguyên,1286751,2412650,2370688,184.24,https://en.wikipedia.org/wiki/COVID-19_vaccination_in_Vietnam,2026-07-12
Tuyên Quang,784811,1425200,1384593,176.42,https://en.wikipedia.org/wiki/COVID-19_vaccination_in_Vietnam,2026-07-12
Lào Cai,730420,1514820,1426269,195.27,https://en.wikipedia.org/wiki/COVID-19_vaccination_in_Vietnam,2026-07-12
Yên Bái,821030,1632480,1626425,198.1,https://en.wikipedia.org/wiki/COVID-19_vaccination_in_Vietnam,2026-07-12
Điện Biên,598856,1145460,1044733,174.45,https://en.wikipedia.org/wiki/COVID-19_vaccination_in_Vietnam,2026-07-12
Hòa Bình,854131,1646630,1586085,185.7,https://en.wikipedia.org/wiki/COVID-19_vaccination_in_Vietnam,2026-07-12
Lai Châu,460196,782870,788203,171.28,https://en.wikipedia.org/wiki/COVID-19_vaccination_in_Vietnam,2026-07-12
Sơn La,1248415,1828320,1859143,148.92,https://en.wikipedia.org/wiki/COVID-19_vaccination_in_Vietnam,2026-07-12
Bắc Ninh,1368840,3072490,3169873,231.57,https://en.wikipedia.org/wiki/COVID-19_vaccination_in_Vietnam,2026-07-12
Hà Nam,852800,1839760,1802645,211.38,https://en.wikipedia.org/wiki/COVID-19_vaccination_in_Vietnam,2026-07-12
